id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm
52668176,Rental unit in Boston · 1 bedroom · 1 bed · 0 shared baths,Brighton,42.3468451,-71.13700407,Private room,61,91,0,,146,172,0
52672205,Rental unit in Boston · ★4.92 · 2 bedrooms · 4 beds · 1.5 baths,Dorchester,42.31313,-71.06588,Entire home/apt,210,29,132,5.12,1,269,50
52680602,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,Brighton,42.3477738,-71.1460998,Entire home/apt,116,32,1,0.32,339,365,1
52680751,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,North End,42.3646556,-71.0553714,Entire home/apt,184,32,0,,339,250,0
52680799,Rental unit in Boston · 1 bedroom · 1 bed · 0 shared baths,Allston,42.35169,-71.13096,Private room,72,91,0,,146,225,0
52681618,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,North End,42.36466,-71.05537,Entire home/apt,142,32,0,,339,364,0
52682307,Rental unit in Boston · 2 bedrooms · 2 beds · 1 bath,North End,42.3646556,-71.0553714,Entire home/apt,184,32,1,0.05,339,290,0
52735203,Rental unit in Boston · 1 bedroom · 1 bed · 0 shared baths,Dorchester,42.32516,-71.05945,Private room,60,91,0,,146,147,0
52740721,Condo in Boston · ★4.80 · 1 bedroom · 1 bed · 1 bath,Roxbury,42.32613,-71.0868,Entire home/apt,,29,25,0.95,3,0,7
52747167,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,South Boston,42.33569,-71.04285,Entire home/apt,126,32,0,,339,319,0
52782975,casa particular in Boston · ★5.0 · 1 bedroom · 1 bed · 1 shared bath,Jamaica Plain,42.318,-71.10839,Private room,56,91,3,0.14,2,276,1
52813403,Condo in Boston · ★4.92 · 1 bedroom · 2 beds · 1 bath,Bay Village,42.34813,-71.06964,Entire home/apt,189,1,181,6.9,1,34,83
52835378,Rental unit in Boston · ★4.70 · Studio · 1 bed · 1 bath,Mission Hill,42.33252,-71.10491,Entire home/apt,101,2,69,3.03,16,0,29
52835695,Rental unit in Boston · ★4.64 · Studio · 1 bed · 1 bath,Mission Hill,42.33405,-71.10546,Entire home/apt,91,2,69,3.02,16,59,33
52835965,Rental unit in Boston · ★4.70 · Studio · 1 bed · 1 bath,Mission Hill,42.3338,-71.10709,Entire home/apt,81,2,82,3.39,16,75,42
52845327,Condo in Boston · ★5.0 · 2 bedrooms · 3 beds · 1 bath,Dorchester,42.31856282,-71.05874534,Entire home/apt,180,3,11,1.16,1,263,11
52883886,Condo in Boston · ★5.0 · 2 bedrooms · 2 beds · 2 baths,Downtown,42.35819626,-71.06234741,Entire home/apt,514,29,8,0.33,1,362,5
52891675,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,South Boston Waterfront,42.348761,-71.048577,Entire home/apt,168,32,0,,339,321,0
52891687,Rental unit in Boston · 1 bedroom · 1 bed · 1 bath,South Boston Waterfront,42.348761,-71.048577,Entire home/apt,176,32,1,0.08,339,328,1
